Event ID,Timestamp,Event Type,Level,Operation,Details,User,Session ID,Transaction ID,Correlation ID
EVT-20251008112747-002,2025-10-08T11:27:47.215274,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008112747,,
EVT-20251008112747-003,2025-10-08T11:27:47.216260,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""'RefundProcessingRequest' object has no attribute 'p008_xml'"", ""error_details"": {""error_type"": ""AttributeError""}}",SYSTEM,SESSION-20251008112747,,REFUND-20251008112747
EVT-20251008114314-001,2025-10-08T11:43:14.916905,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114314""}}",SYSTEM,SESSION-20251008114314,,
EVT-20251008114314-002,2025-10-08T11:43:14.918913,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114314,,
EVT-20251008114314-003,2025-10-08T11:43:14.919911,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""'RefundProcessingRequest' object has no attribute 'p008_xml'"", ""error_details"": {""error_type"": ""AttributeError""}}",SYSTEM,SESSION-20251008114314,,REFUND-20251008114314
EVT-20251008114423-001,2025-10-08T11:44:23.432742,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114423""}}",SYSTEM,SESSION-20251008114423,,
EVT-20251008114423-002,2025-10-08T11:44:23.434740,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114423,,
EVT-20251008114423-003,2025-10-08T11:44:23.441570,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008114423,,
EVT-20251008114423-004,2025-10-08T11:44:23.442743,ERROR,ERROR,REFUND_PROCESSING_ERROR,"{""error_message"": ""Validation failed: ['Amount mismatch between PACS.004 and PACS.008']"", ""error_details"": {""error_type"": ""ValueError""}}",SYSTEM,SESSION-20251008114423,,REFUND-20251008114423
EVT-20251008114555-001,2025-10-08T11:45:55.014722,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114554""}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-002,2025-10-08T11:45:55.016989,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-003,2025-10-08T11:45:55.017993,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-004,2025-10-08T11:45:55.019988,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID67890-20251008114555"", ""details"": {""transaction_id"": ""TXN-E2EID67890-20251008114555""}}",SYSTEM,SESSION-20251008114555,TXN-E2EID67890-20251008114555,REFUND-20251008114554
EVT-20251008114555-005,2025-10-08T11:45:55.021991,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008114555,TXN-E2EID67890-20251008114555,REFUND-20251008114554
EVT-20251008114555-006,2025-10-08T11:45:55.023990,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-007,2025-10-08T11:45:55.024984,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-008,2025-10-08T11:45:55.026993,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-009,2025-10-08T11:45:55.028929,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114555,,
EVT-20251008114555-010,2025-10-08T11:45:55.031321,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.016599}}",SYSTEM,SESSION-20251008114555,TXN-E2EID67890-20251008114555,REFUND-20251008114554
EVT-20251008114622-001,2025-10-08T11:46:22.023771,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114622""}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-002,2025-10-08T11:46:22.025769,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-003,2025-10-08T11:46:22.027773,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-004,2025-10-08T11:46:22.028769,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID67890-20251008114622"", ""details"": {""transaction_id"": ""TXN-E2EID67890-20251008114622""}}",SYSTEM,SESSION-20251008114622,TXN-E2EID67890-20251008114622,REFUND-20251008114622
EVT-20251008114622-005,2025-10-08T11:46:22.033335,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008114622,TXN-E2EID67890-20251008114622,REFUND-20251008114622
EVT-20251008114622-006,2025-10-08T11:46:22.035320,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-007,2025-10-08T11:46:22.037322,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-008,2025-10-08T11:46:22.040323,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-009,2025-10-08T11:46:22.041325,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114622,,
EVT-20251008114622-010,2025-10-08T11:46:22.044657,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.020886}}",SYSTEM,SESSION-20251008114622,TXN-E2EID67890-20251008114622,REFUND-20251008114622
EVT-20251008114709-001,2025-10-08T11:47:09.187130,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114709""}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-002,2025-10-08T11:47:09.191173,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-003,2025-10-08T11:47:09.194174,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-004,2025-10-08T11:47:09.196167,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID67890-20251008114709"", ""details"": {""transaction_id"": ""TXN-E2EID67890-20251008114709""}}",SYSTEM,SESSION-20251008114709,TXN-E2EID67890-20251008114709,REFUND-20251008114709
EVT-20251008114709-005,2025-10-08T11:47:09.200460,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008114709,TXN-E2EID67890-20251008114709,REFUND-20251008114709
EVT-20251008114709-006,2025-10-08T11:47:09.202458,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-007,2025-10-08T11:47:09.204482,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-008,2025-10-08T11:47:09.206480,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-009,2025-10-08T11:47:09.209495,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-010,2025-10-08T11:47:09.211480,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.02435}}",SYSTEM,SESSION-20251008114709,TXN-E2EID67890-20251008114709,REFUND-20251008114709
EVT-20251008114709-001,2025-10-08T11:47:09.232482,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008114709""}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-002,2025-10-08T11:47:09.239511,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-003,2025-10-08T11:47:09.242506,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-004,2025-10-08T11:47:09.244500,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID-AC01-001-20251008114709"", ""details"": {""transaction_id"": ""TXN-E2EID-AC01-001-20251008114709""}}",SYSTEM,SESSION-20251008114709,TXN-E2EID-AC01-001-20251008114709,REFUND-20251008114709
EVT-20251008114709-005,2025-10-08T11:47:09.248055,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008114709,TXN-E2EID-AC01-001-20251008114709,REFUND-20251008114709
EVT-20251008114709-006,2025-10-08T11:47:09.251609,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-007,2025-10-08T11:47:09.254600,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-008,2025-10-08T11:47:09.256603,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-009,2025-10-08T11:47:09.258608,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008114709,,
EVT-20251008114709-010,2025-10-08T11:47:09.261603,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.029121}}",SYSTEM,SESSION-20251008114709,TXN-E2EID-AC01-001-20251008114709,REFUND-20251008114709
EVT-20251008115642-001,2025-10-08T11:56:42.545377,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008115549""}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-002,2025-10-08T11:56:42.549412,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-003,2025-10-08T11:56:42.552415,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-004,2025-10-08T11:56:42.554400,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID67890-20251008115642"", ""details"": {""transaction_id"": ""TXN-E2EID67890-20251008115642""}}",SYSTEM,SESSION-20251008115642,TXN-E2EID67890-20251008115642,REFUND-20251008115549
EVT-20251008115642-005,2025-10-08T11:56:42.558407,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008115642,TXN-E2EID67890-20251008115642,REFUND-20251008115549
EVT-20251008115642-006,2025-10-08T11:56:42.561907,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-007,2025-10-08T11:56:42.564581,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-008,2025-10-08T11:56:42.567583,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-009,2025-10-08T11:56:42.569578,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-010,2025-10-08T11:56:42.571578,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.026201}}",SYSTEM,SESSION-20251008115642,TXN-E2EID67890-20251008115642,REFUND-20251008115549
EVT-20251008115642-001,2025-10-08T11:56:42.574579,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008115549""}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-002,2025-10-08T11:56:42.576588,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-003,2025-10-08T11:56:42.579603,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-004,2025-10-08T11:56:42.581599,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID-AC01-001-20251008115642"", ""details"": {""transaction_id"": ""TXN-E2EID-AC01-001-20251008115642""}}",SYSTEM,SESSION-20251008115642,TXN-E2EID-AC01-001-20251008115642,REFUND-20251008115549
EVT-20251008115642-005,2025-10-08T11:56:42.584607,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008115642,TXN-E2EID-AC01-001-20251008115642,REFUND-20251008115549
EVT-20251008115642-006,2025-10-08T11:56:42.586600,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-007,2025-10-08T11:56:42.588600,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-008,2025-10-08T11:56:42.591609,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-009,2025-10-08T11:56:42.595173,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115642,,
EVT-20251008115642-010,2025-10-08T11:56:42.599163,SYSTEM,INFO,REFUND_PROCESSING_COMPLETE,"{""description"": ""Refund processing completed successfully"", ""details"": {""processing_time_seconds"": 0.024584}}",SYSTEM,SESSION-20251008115642,TXN-E2EID-AC01-001-20251008115642,REFUND-20251008115549
EVT-20251008115720-001,2025-10-08T11:57:20.039159,SYSTEM,INFO,REFUND_PROCESSING_START,"{""description"": ""Starting refund processing"", ""details"": {""correlation_id"": ""REFUND-20251008115549""}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-002,2025-10-08T11:57:20.044158,SYSTEM,INFO,PACS004_PARSED,"{""description"": ""Successfully parsed PACS.004 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""cdtr_name"", ""cdtr_iban"", ""rtr_ccy"", ""rtr_amount"", ""rsn"", ""rsn_info""]}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-003,2025-10-08T11:57:20.046155,SYSTEM,INFO,PACS008_PARSED,"{""description"": ""Successfully parsed PACS.008 message"", ""details"": {""fields_parsed"": [""e2e"", ""uetr"", ""dbtr_name"", ""dbtr_iban"", ""ccy"", ""amount""]}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-004,2025-10-08T11:57:20.048178,SYSTEM,INFO,TRANSACTION_START,"{""description"": ""Starting transaction TXN-E2EID67890-20251008115720"", ""details"": {""transaction_id"": ""TXN-E2EID67890-20251008115720""}}",SYSTEM,SESSION-20251008115720,TXN-E2EID67890-20251008115720,REFUND-20251008115549
EVT-20251008115720-005,2025-10-08T11:57:20.052176,SYSTEM,INFO,DECISION_ENGINE_COMPLETE,"{""description"": ""Decision engine completed with result: True"", ""details"": {""final_action"": ""SUBMIT_CASE_TO_CLOSED""}}",SYSTEM,SESSION-20251008115720,TXN-E2EID67890-20251008115720,REFUND-20251008115549
EVT-20251008115720-006,2025-10-08T11:57:20.054175,CSV_OPERATION,INFO,ATTACH_SC_LC,"{""file_path"": ""Updated accounts for ATTACH_SC_LC"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-007,2025-10-08T11:57:20.056173,CSV_OPERATION,INFO,SEND_NOSTRO_NOT_CREDITED,"{""file_path"": ""Updated accounts for SEND_NOSTRO_NOT_CREDITED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-008,2025-10-08T11:57:20.058175,CSV_OPERATION,INFO,CREDIT_CLIENT_ORIGINAL,"{""file_path"": ""Updated accounts for CREDIT_CLIENT_ORIGINAL"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115720,,
EVT-20251008115720-009,2025-10-08T11:57:20.060170,CSV_OPERATION,INFO,SUBMIT_CASE_TO_CLOSED,"{""file_path"": ""Updated accounts for SUBMIT_CASE_TO_CLOSED"", ""records_affected"": 0, ""success"": true, ""error"": null, ""details"": {""accounts_affected"": []}}",SYSTEM,SESSION-20251008115720,,
